Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-47.5125	10.013734	0.0	-50.0	50.0	-0.010215207	0.14494993	1.6693621	-2.9834492	4000	-1.9836426e-07	572.079	-0.023847029	-225.70477	2.741959	0.0020162452	0.07575	79.0	11.053527593612671
1	-47.0375	11.217669	0.0	-50.0	50.0	-7.9679503	6.8282657	-3.308243	-134.20284	8000	-7.152558e-08	364.0259	-0.027482435	-232.75847	2.7196567	-0.0009153037	0.08675	79.0	21.723541736602783
2	-48.125	9.499178	0.0	-50.0	50.0	-20.291235	5.191919	-11.071951	-195.1465	12000	-2.2888184e-08	147.95627	-0.025120283	-48.108246	2.6336405	0.0016164432	0.07575	79.0	31.955608367919922
3	-46.5625	12.314466	0.0	-50.0	50.0	-20.981464	4.3940377	-3.8613086	-35.44133	16000	-7.629395e-09	108.26967	-0.022554085	-18.535889	2.6940181	0.0019421646	0.08125	79.0	42.34134554862976
4	-48.0	9.0	0.0	-50.0	50.0	-20.421324	6.609014	2.5298765	-38.36612	20000	2.861023e-09	85.712364	-0.024196647	-12.521736	2.6693392	0.0052408245	0.09325	79.0	52.71388363838196
5	-46.4125	12.383147	0.0	-50.0	50.0	-19.479015	8.356909	6.05971	-66.97428	24000	-3.8146974e-09	95.84953	-0.026244188	-11.818367	2.6309028	0.014688781	0.0925	79.0	63.43494892120361
6	-47.225	11.1062765	0.0	-50.0	50.0	-20.405857	7.8827643	-1.4744629	-44.11964	28000	8.5830685e-09	78.05405	-0.024405502	-9.839485	2.6186025	0.008087459	0.11075	79.0	74.04887104034424
7	-48.3	8.228608	0.0	-50.0	50.0	-19.383238	9.339365	12.284513	-49.160442	32000	1.9073487e-09	73.27278	-0.027303526	-11.222759	2.598033	0.009684536	0.127	79.0	84.79806184768677
8	-46.025	13.214553	0.0	-50.0	50.0	-20.705553	8.372468	-1.6665443	-40.805332	36000	5.2452087e-09	85.3602	-0.02973281	-7.3061295	2.6027892	0.012689903	0.15075	79.0	95.6242265701294
9	-46.075	13.180263	0.0	-50.0	50.0	-19.038336	8.818945	1.9565257	-40.563423	40000	1.9073487e-09	86.72608	-0.0294936	-12.622253	2.5565195	0.013740249	0.15	79.0	106.31852054595947
10	-48.6	7.895569	0.0	-50.0	50.0	-19.025742	9.338088	1.9490685	-42.14647	44000	1.525879e-08	56.79771	-0.012803983	-12.570999	2.4724755	0.015629867	0.136	12.0	116.84597063064575
11	-48.125	9.499178	0.0	-50.0	50.0	-19.12936	9.826931	0.5156748	-42.543007	48000	-6.6757204e-09	52.72162	-0.026656432	-10.802189	2.415842	0.005097459	0.11525	79.0	127.46170592308044
12	-48.125	9.499178	0.0	-50.0	50.0	-19.62228	10.262716	-0.1596148	-44.64741	52000	1.525879e-08	53.971703	-0.025697982	-10.804653	2.4419596	0.012046778	0.119	79.0	138.2239842414856
13	-45.4625	14.119971	0.0	-50.0	50.0	-19.781687	10.662642	1.4030244	-45.16668	56000	4.2915342e-09	74.53769	-0.029295705	-12.379154	2.379502	0.007970553	0.14075	79.0	148.84602117538452
14	-48.125	9.499178	0.0	-50.0	50.0	-18.965954	9.765398	-1.5153018	-39.879433	60000	1.4305115e-09	50.63236	-0.025328198	-7.895115	2.323121	0.010959097	0.11875	79.0	159.44520163536072
15	-46.875	12.103073	0.0	-50.0	50.0	-20.901258	10.003058	-2.7034895	-42.07424	64000	-1.9073487e-09	54.088367	-0.028741186	-8.544189	2.2934105	0.009923802	0.146	79.0	169.55626368522644
16	-46.25	13.169567	0.0	-50.0	50.0	-18.869226	10.589462	0.54397905	-42.643063	68000	-1.502037e-08	65.44048	-0.026875565	-6.045723	2.2831895	0.0050136885	0.1275	79.0	179.63914823532104
17	-43.125	17.218721	0.0	-50.0	50.0	-20.274702	9.402756	1.0955012	-45.059082	72000	-1.1444092e-08	90.93746	-0.028540563	-9.443291	2.2095335	0.011847297	0.11725	79.0	189.80459237098694
18	-44.375	15.799031	0.0	-50.0	50.0	-18.472815	8.986056	-1.9278747	-41.306366	76000	-2.2411346e-08	76.90719	-0.026446301	-5.2021484	2.2074234	0.014671207	0.122	79.0	200.21005392074585
19	-46.25	13.169567	0.0	-50.0	50.0	-18.23303	9.658745	-2.2151642	-40.27467	80000	2.861023e-09	61.474415	-0.024730226	-10.937893	2.1434903	0.009149336	0.1105	79.0	210.55049562454224
20	-47.5	10.897247	0.0	-50.0	50.0	-19.533293	10.3848505	-1.2494844	-40.20923	84000	2.4795533e-08	48.093624	-0.027433159	-9.514175	2.1210198	0.014958988	0.14875	79.0	221.3512933254242
21	-46.775	12.109888	0.0	-50.0	50.0	-20.574871	10.473509	-1.2610022	-43.438797	88000	-1.1920929e-08	53.521774	-0.004803589	-9.327328	2.0913448	0.016989108	0.186	5.0	231.37895154953003
22	-47.5	10.897247	0.0	-50.0	50.0	-18.193811	11.009662	1.1185423	-40.35553	92000	1.0967255e-08	44.505867	-0.024589553	-9.736061	2.0947642	0.014397723	0.13675	79.0	241.38117671012878
23	-43.125	17.218721	0.0	-50.0	50.0	-20.090101	10.975091	0.73274	-41.195107	96000	-3.671646e-08	76.16271	-0.02806818	-12.046509	1.9917476	0.0101961475	0.14525	79.0	251.3772087097168
24	-45.0	15.0	0.0	-50.0	50.0	-17.705519	10.074738	-0.5232103	-37.57368	100000	-1.4662743e-08	62.826435	-0.024811266	-10.689285	1.90502	0.013114429	0.128	79.0	261.58504915237427
25	-46.25	13.169567	0.0	-50.0	50.0	-19.585491	10.099014	0.1477437	-55.290695	104000	-1.9073487e-09	44.923656	-0.028079027	-5.16185	1.9049873	0.010352128	0.15575	79.0	271.77659940719604
26	-46.25	13.169567	0.0	-50.0	50.0	-19.3062	10.975295	2.193433	-40.159473	108000	5.2452087e-09	47.874878	-0.024672616	-6.803623	1.7953717	0.01161413	0.14	79.0	281.7941474914551
27	-46.875	12.103073	0.0	-50.0	50.0	-19.272303	10.739939	0.19190247	-41.541214	112000	2.3841857e-09	43.06211	-0.027320413	-12.17436	1.792781	0.011758395	0.1615	79.0	291.9877059459686
28	-45.5125	14.128866	0.0	-50.0	50.0	-20.903086	11.043132	9.928605	-44.730907	116000	-4.7683715e-09	50.75175	-0.008626218	-12.241718	1.7450222	0.012745667	0.16775	5.0	302.0660009384155
29	-48.125	9.499178	0.0	-50.0	50.0	-18.701563	11.352823	2.3824587	-41.60232	120000	2.9206277e-08	39.631092	-0.02319545	-15.392172	1.7216773	0.010537381	0.1185	79.0	312.49548387527466
30	-46.25	13.169567	0.0	-50.0	50.0	-20.867666	10.839265	2.1260283	-43.090164	124000	1.001358e-08	43.135555	-0.0071077147	-8.570736	1.7502784	0.015355192	0.242	5.0	322.9081811904907
31	-45.625	14.128318	0.0	-50.0	50.0	-18.52671	11.485058	2.5914261	-41.92715	128000	2.3245812e-09	52.47527	-0.02453257	-10.594959	1.7342678	0.007165193	0.13125	79.0	333.4596486091614
32	-48.75	7.8062477	0.0	-50.0	50.0	-20.23365	10.1869	0.41561902	-42.663918	132000	-1.859665e-08	24.337782	-0.025323384	-7.5328007	1.7180163	0.010393864	0.1245	79.0	344.10950446128845
