Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	200.0	-0.32211545	0.0022202057	-0.3139112	-0.33059657	4000	2.732277e-07	3808.055	-0.004281845	-761.5635	1.0846639	0.00951516	0.0	79.0	3.9718260765075684
1	-200.0	0.0	-200.0	-200.0	200.0	-7.476572	0.0082786195	-7.449539	-7.5017166	8000	-3.71933e-08	3046.3518	-0.0016562963	-376.9231	1.081865	0.015135517	0.0	57.0	7.302865982055664
2	-200.0	0.0	-200.0	-200.0	200.0	-11.429285	0.008635345	-11.398753	-11.461744	12000	1.3780594e-07	2669.44	-0.0009387188	-358.09375	1.0989273	0.011227558	0.0	79.0	10.687052726745605
3	-200.0	0.0	-200.0	-200.0	200.0	-15.530114	0.007062649	-15.50366	-15.556453	16000	-1.0299683e-07	2311.43	-0.0029683071	-329.7937	1.0856668	0.016132507	0.39525	18.0	13.849362134933472
4	-200.0	0.0	-200.0	-200.0	200.0	-19.703098	0.006086903	-19.683369	-19.72246	20000	1.3113022e-07	1981.6187	-0.005593019	-282.4015	1.0936484	0.013078298	0.0	79.0	17.192527770996094
5	-200.0	0.0	-200.0	-200.0	200.0	-23.687237	0.0046602273	-23.67243	-23.700216	24000	-9.965897e-08	1699.2567	-0.0024366442	-223.26367	1.0853198	0.014201207	0.0	59.0	20.544076204299927
6	-200.0	0.0	-200.0	-200.0	200.0	-27.210278	0.0043629035	-27.194216	-27.226	28000	1.6212464e-08	1476.005	-0.0050406405	-179.62708	1.0483733	0.010734413	0.0	79.0	23.909818172454834
7	-200.0	0.0	-200.0	-200.0	200.0	-30.379597	0.0028980605	-30.367369	-30.389181	32000	-9.536743e-09	1296.3826	-0.0023853856	-147.05786	1.0016167	0.015457148	0.33	25.0	27.126654386520386
8	-200.0	0.0	-200.0	-200.0	200.0	-33.28659	0.0030921637	-33.271626	-33.297264	36000	-1.4305115e-09	1149.2899	-0.002208499	-120.58252	0.98805577	0.007219917	0.0	79.0	30.596708059310913
9	-200.0	0.0	-200.0	-200.0	200.0	-35.966038	0.0028267342	-35.9546	-35.975044	40000	4.863739e-08	1028.6941	-0.001021575	-98.466125	0.9799677	0.0029016081	0.0	79.0	33.98786735534668
10	-200.0	0.0	-200.0	-200.0	200.0	-38.43658	0.0030825664	-38.427406	-38.44477	44000	-3.671646e-08	930.2224	-0.0013391719	-79.82129	0.9863932	0.012099908	0.0	79.0	37.73115062713623
11	-200.0	0.0	-200.0	-200.0	200.0	-40.709385	0.0027779068	-40.69894	-40.717922	48000	-2.2411346e-08	850.39825	-0.0022796907	-64.10126	1.0544627	0.016139366	0.0	41.0	41.13302445411682
12	-200.0	0.0	-200.0	-200.0	200.0	-42.79327	0.002365847	-42.781	-42.802002	52000	-3.385544e-08	786.29474	-0.0018152904	-50.907227	1.0003016	0.008364943	0.0	79.0	44.604377031326294
13	-200.0	0.0	-200.0	-200.0	200.0	-44.69422	0.002117196	-44.68594	-44.701035	56000	-2.7656554e-08	735.3998	-0.0022017215	-39.930176	0.9592634	0.009649391	0.0	79.0	48.07800555229187
14	-200.0	0.0	-200.0	-200.0	200.0	-46.41895	0.0017668649	-46.413258	-46.423378	60000	1.7166137e-08	695.4613	-0.0029088568	-30.889832	0.8781422	0.0066247466	0.0	79.0	51.36722445487976
15	-200.0	0.0	-200.0	-200.0	200.0	-47.97314	0.0019183811	-47.96426	-47.980236	64000	1.3351441e-08	664.58136	-0.0013647953	-23.544739	0.8613308	0.0048598736	0.0	79.0	54.67495679855347
16	-200.0	0.0	-200.0	-200.0	200.0	-49.364193	0.0016342502	-49.358845	-49.369247	68000	-1.3828277e-08	641.0334	-0.002691231	-17.659119	0.821068	0.0030224533	0.0	79.0	58.061073541641235
17	-200.0	0.0	-200.0	-200.0	200.0	-50.598843	0.0014783926	-50.594357	-50.60318	72000	-3.528595e-08	623.3753	-0.00066579104	-13.021301	0.82619536	0.005509322	0.0	79.0	61.538766860961914
18	-200.0	0.0	-200.0	-200.0	200.0	-51.686043	0.0015804322	-51.681557	-51.69036	76000	-4.7683715e-09	610.35474	-0.0010983191	-9.428101	0.78338146	0.0039634123	0.0	79.0	64.93097925186157
19	-200.0	0.0	-200.0	-200.0	200.0	-52.634335	0.0015730592	-52.627697	-52.639774	80000	-1.7166137e-08	600.922	-0.0012212968	-6.697571	0.7828712	0.0048251958	0.0	79.0	68.32050395011902
20	-200.0	0.0	-200.0	-200.0	200.0	-53.453484	0.0012844658	-53.44777	-53.45744	84000	7.629395e-09	594.2274	-0.0018411608	-4.663574	0.73260427	0.0018058562	0.118	79.0	72.12827920913696
21	-200.0	0.0	-200.0	-200.0	200.0	-54.15409	0.0013122051	-54.15045	-54.157486	88000	4.768372e-10	589.5688	-0.0036337913	-3.1802368	0.77818143	0.0044570323	0.0	79.0	75.65489912033081
22	-200.0	0.0	-200.0	-200.0	200.0	-54.74719	0.0010678319	-54.743595	-54.750458	92000	6.6757204e-09	586.3814	-0.0026114546	-2.1206055	0.78029275	0.004642292	0.0	79.0	79.04549717903137
23	-200.0	0.0	-200.0	-200.0	200.0	-55.24343	0.0015173908	-55.23831	-55.247818	96000	7.152557e-09	584.2635	-0.0020752917	-1.3826904	0.8566419	0.0062499447	0.0	79.0	82.54262018203735
24	-200.0	0.0	-200.0	-200.0	200.0	-55.65415	0.0013837348	-55.648872	-55.657864	100000	-5.2452087e-09	582.8812	-0.0034127992	-0.88031006	0.93269026	0.010767059	0.2265	79.0	85.92291331291199
25	-200.0	0.0	-200.0	-200.0	200.0	-55.990482	0.0013313267	-55.98647	-55.9942	104000	-5.722046e-09	582.0031	-0.0039538736	-0.54663086	0.92744046	0.00934298	0.0	79.0	89.23802757263184
