Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-47.5	10.897247	0.0	-50.0	50.0	0.26713446	0.009004634	0.34000084	0.19932576	4000	7.724762e-08	583.9822	-0.005519005	-223.89932	2.741959	0.004045955	0.03375	79.0	11.618440866470337
1	-43.125	17.218721	0.0	-50.0	50.0	-6.0111666	0.07445666	-5.3397512	-6.400916	8000	4.7683717e-08	330.53745	-0.0039109974	-70.99289	2.7385647	0.0030670909	0.01825	79.0	22.886436939239502
2	-46.475	12.514965	0.0	-50.0	50.0	-9.174735	0.0467242	-8.714647	-9.405095	12000	-7.152558e-08	271.95007	-0.007175472	-59.13629	2.706202	0.006627858	0.04225	79.0	34.126668214797974
3	-45.0	15.0	0.0	-50.0	50.0	-12.288813	0.0515426	-11.676195	-12.43507	16000	-8.5830685e-09	211.8299	-0.003459383	-31.007477	2.7960236	0.006350022	0.02675	79.0	45.10862731933594
4	-45.625	14.128318	0.0	-50.0	50.0	-14.84912	0.06504478	-13.448639	-15.004931	20000	2.861023e-09	180.33289	-0.0058086845	-16.265228	2.7970424	0.0038593116	0.0535	79.0	55.763344287872314
5	-45.625	14.128318	0.0	-50.0	50.0	-16.86091	0.03905734	-16.608002	-16.961407	24000	4.7683715e-09	164.07	-0.0035173062	-6.3118896	2.7953966	0.0025912789	0.02	79.0	66.55463290214539
6	-46.25	13.169567	0.0	-50.0	50.0	-18.186403	0.048560068	-17.349573	-18.282415	28000	1.9073486e-08	155.47668	-0.0049029123	-2.893814	2.798209	0.0038871528	0.02475	79.0	77.29192280769348
7	-46.25	13.169567	0.0	-50.0	50.0	-19.099474	0.034991592	-18.818712	-19.186434	32000	3.8146972e-08	152.58234	-0.005606079	-0.9222412	2.784519	0.0034375186	0.0395	79.0	88.07496237754822
8	-46.25	13.169567	0.0	-50.0	50.0	-19.624758	0.038975675	-19.298803	-19.723495	36000	3.8146974e-09	151.6892	-0.004901333	-0.3603363	2.762407	0.007323997	0.03475	79.0	98.7721803188324
9	-47.5	10.897247	0.0	-50.0	50.0	-19.901665	0.039611895	-19.565517	-20.007713	40000	5.722046e-09	144.70581	-0.0044726734	-0.7388916	2.7552178	0.005010391	0.04175	79.0	109.34506630897522
10	-44.375	15.799031	0.0	-50.0	50.0	-20.30434	0.056891497	-19.492416	-20.441015	44000	9.536744e-10	161.58054	-0.0044085435	-1.9855042	2.727224	0.006547739	0.028	79.0	120.07058954238892
11	-45.625	14.128318	0.0	-50.0	50.0	-19.706804	0.09877974	-19.286163	-19.985321	48000	1.1444092e-08	153.62738	-0.004277545	-2.2858734	2.6429691	0.003862149	0.02425	79.0	130.32623076438904
12	-43.75	16.535946	0.0	-50.0	50.0	-19.522554	0.23820692	-18.407866	-20.083948	52000	2.5749207e-08	160.5104	-0.0041589867	-8.880783	2.6946664	0.004753225	0.018	79.0	140.7212781906128
13	-43.125	17.218721	0.0	-50.0	50.0	-18.412228	0.78602356	-15.890645	-20.138493	56000	-2.861023e-09	155.0382	-0.00493343	-12.7942505	2.6792793	0.0017639212	0.034	79.0	150.9642996788025
14	-45.625	14.128318	0.0	-50.0	50.0	-17.655893	1.7031329	-13.135697	-21.10201	60000	3.1471252e-08	131.02632	-0.0035216645	-22.06485	2.6554785	0.00298589	0.02225	79.0	160.89111614227295
15	-43.75	16.535946	0.0	-50.0	50.0	-18.607367	2.921242	-11.362972	-23.296846	64000	3.6239623e-08	119.72711	-0.0046770573	-20.681786	2.6877515	0.0033488816	0.035	79.0	170.94010019302368
16	-47.5	10.897247	0.0	-50.0	50.0	-17.721992	4.7716284	-8.621143	-25.075611	68000	-7.629395e-09	81.347885	-0.004293835	-20.845753	2.6988897	0.0062602656	0.02825	79.0	181.17399740219116
17	-46.25	13.169567	0.0	-50.0	50.0	-20.037582	5.9149356	-7.8502192	-27.460161	72000	-1.9073487e-09	69.76827	-0.006018738	-12.290646	2.641106	0.0050642127	0.0555	79.0	191.5152986049652
18	-48.125	9.499178	0.0	-50.0	50.0	-18.508512	7.7755194	-5.1880374	-29.009176	76000	3.8146974e-09	47.66639	-0.004720556	-8.330151	2.637276	0.006052796	0.0295	79.0	201.82066583633423
19	-45.0	15.0	0.0	-50.0	50.0	-19.104193	8.67564	-5.042257	-30.622213	80000	8.5830685e-09	65.127174	-0.0044887997	-2.1050682	2.5827563	0.004723469	0.0365	79.0	211.95559859275818
20	-44.375	15.799031	0.0	-50.0	50.0	-18.933434	9.221137	-4.354146	-31.111767	84000	-1.9073487e-09	72.67699	-0.0034345337	-1.276413	2.5697901	0.0028950644	0.02125	79.0	222.33670473098755
21	-44.375	15.799031	0.0	-50.0	50.0	-19.18598	9.293179	-4.5496016	-31.21728	88000	1.9073487e-09	66.32483	-0.0034271497	-1.2129211	2.5713453	0.014796726	0.19375	4.0	232.13470697402954
22	-48.125	9.499178	0.0	-50.0	50.0	-17.837896	9.629881	-4.1549196	-31.294466	92000	4.2915346e-08	42.39136	-0.005456473	-11.127916	2.5749981	0.0063845385	0.0535	79.0	242.25339102745056
23	-48.125	9.499178	0.0	-50.0	50.0	-19.897043	9.739405	-5.420805	-32.51022	96000	-1.7166137e-08	32.38766	-0.004896574	-2.1134796	2.5245786	0.0007788522	0.0475	79.0	252.04434299468994
24	-45.625	14.128318	0.0	-50.0	50.0	-20.586071	9.837655	-4.7703266	-33.122913	100000	-1.8119811e-08	52.64941	-0.0032074316	-1.6456337	2.4747672	0.011941342	0.13225	5.0	261.63022351264954
25	-46.875	12.103073	0.0	-50.0	50.0	-19.311916	9.965973	-4.146699	-33.0359	104000	3.8146974e-09	42.325497	-0.004808264	-2.0082397	2.5101738	0.008764849	0.0525	79.0	271.53090262413025
26	-48.125	9.499178	0.0	-50.0	50.0	-19.772152	10.078489	-4.3893113	-33.467506	108000	-4.7683715e-09	30.093506	-0.008673269	-2.4222126	2.4208076	0.006507576	0.10425	79.0	281.39492106437683
27	-45.625	14.128318	0.0	-50.0	50.0	-20.09722	10.2811165	-4.8054485	-33.997223	112000	1.525879e-08	55.912296	-0.006259	-2.611393	2.391795	0.0042551383	0.0505	79.0	291.27560782432556
28	-45.625	14.128318	0.0	-50.0	50.0	-19.662554	9.777477	-4.8855777	-33.750385	116000	0.0	54.66103	-0.0041952175	-1.5899582	2.4120586	0.004441365	0.03375	79.0	301.19703459739685
29	-47.5	10.897247	0.0	-50.0	50.0	-19.42226	10.013023	-4.870572	-33.804012	120000	-1.0490417e-08	37.760998	-0.0043115173	-2.9237633	2.366975	0.004531354	0.021	79.0	311.2129273414612
